:addin:             -> adding
addressess          -> addresses
addtion             -> addition
adecuate            -> adequate
adequit             -> adequate
adhearing           -> adhering
adherance           -> adherence
admendment          -> amendment
admininistrative    -> administrative
adminstered         -> administered
adminstrate         -> administrate
adminstration       -> administration
adminstrative       -> administrative
adminstrator        -> administrator
admissability       -> admissibility
admissable          -> admissible
admited             -> admitted
adolecent           -> adolescent
adquire             -> acquire
adquiring           -> acquiring
adres:              -> address
adresable           -> addressable
adresing            -> addressing
adress              -> address
adventrous          -> adventurous
advertisment        -> advertisement
advesary            -> adversary
adviced             -> advised
aeriel              -> aerial
afair               -> affair
afficianados        -> aficionados
afficionado         -> aficionado
affilate            -> affiliate
affilliate          -> affiliate
aforememtioned      -> aforementioned
againnst            -> against
agaisnt             -> against
aggaravates         -> aggravates
aggreed             -> agreed
aggreement          -> agreement
aggregious          -> egregious
aggregrator         -> aggregator
aggresive           -> aggressive
agravate            -> aggravate
agreeement          -> agreement
agreemnt            -> agreement
agregate            -> aggregate
agreing             -> agreeing
agression           -> aggression
agressive           -> aggressive
agressor            -> aggressor
agricultue          -> agriculture
agriculure          -> agriculture
agricuture          -> agriculture
agrieved            -> aggrieved
ahev                -> have
ahppen              -> happen
ahppn               -> happen
ahve                -> have
aicraft             -> aircraft
aiport              -> airport
airbourne           -> airborne
aircaft             -> aircraft
aircrafts:          -> aircraft
airporta            -> airports
airrcraft           -> aircraft
aisian              -> asian
aknowledge          -> acknowledge
:albe:              -> able
albiet              -> albeit
alchohol            -> alcohol
alchol              -> alcohol
alcohal             -> alcohol
aledge              -> allege
alegience           -> allegiance
algebraical         -> algebraic
algorhitms          -> algorithms
algoritm            -> algorithm
alientating         -> alienating
alledge             -> allege
allegedely          -> allegedly
allegedy            -> allegedly
allegely            -> allegedly
allegence           -> allegiance
allegience          -> allegiance
allign              -> align
alliviate           -> alleviate
allopone            -> allophone
allready            -> already
allthough           -> although
alltogether         -> altogether
almsot              -> almost
alochol             -> alcohol
alomst              -> almost
alotted             -> allotted
alowed              -> allowed
alowing             -> allowing
alreayd             -> already
alsot               -> also
alternitives        -> alternatives
altho:              -> although
althought           -> although
altough             -> although
alwasy              -> always
alwyas              -> always
amalgomated         -> amalgamated
amatuer             -> amateur
amature             -> amateur
amendmant           -> amendment
amerliorate         -> ameliorate
amke                -> make
amking              -> making
ammend              -> amend
ammount             -> amount
ammused             -> amused
amoung              -> among
amung               -> among
amunition           -> ammunition
analagous           -> analogous
analitic            -> analytic
analogeous          -> analogous
anarchim            -> anarchism
anarchistm          -> anarchism
anbd                -> and
ancestory           -> ancestry
ancilliary          -> ancillary
andd:               -> and
androgenous         -> androgynous
androgeny           -> androgyny
anihilation         -> annihilation
aniversary          -> anniversary
annoint             -> anoint
annouced            -> announced
annualy             -> annually
annuled             -> annulled
anohter             -> another
anomolies           -> anomalies
anomolous           -> anomalous
anomoly             -> anomaly
anonimity           -> anonymity
anounced            -> announced
anouncement         -> announcement
ansalisation        -> nasalisation
ansalization        -> nasalization
ansestors           -> ancestors
antartic            -> antarctic
anthromorphization  -> anthropomorphization
anthropolgist       -> anthropologist
anthropolgy         -> anthropology
anulled             -> annulled
anwsered            -> answered
anyhwere            -> anywhere
anyother            -> any other
anytying            -> anything
aparent             -> apparent
aparment            -> apartment
aparrent            -> apparent
aplication          -> application
aplied              -> applied
apolegetics         -> apologetics
apparant            -> apparent
apparrent           -> apparent
appart              -> apart
appeareance         -> appearance
appearence          -> appearance
apperance           -> appearance
appereance          -> appearance
applicaiton         -> application
appologies          -> apologies
appology            -> apology
apprearance         -> appearance
apprieciate         -> appreciate
approachs           -> approaches
appropiate          -> appropriate
appropraite         -> appropriate
appropropiate       -> appropriate
approproximate      -> approximate
approxamately       -> approximately
approxiately        -> approximately
approximitely       -> approximately
aprehensive         -> apprehensive
apropriate          -> appropriate
aproval             -> approval
aproximate          -> approximate
aquaduct            -> aqueduct
aquaintance         -> acquaintance
aquainted           -> acquainted
aquiantance         -> acquaintance
aquire              -> acquire
aquiring            -> acquiring
aquisition          -> acquisition
aquitted            -> acquitted
aranged             -> arranged
arangement          -> arrangement
arbitarily          -> arbitrarily
arbirtary           -> arbitrary
arbitary            -> arbitrary
archaelogical       -> archaeological
archaelogists       -> archaeologists
archaelogy          -> archaeology
archaoelogy         -> archeology
archaology          -> archeology
archeaologist       -> archeologist
archetect           -> architect
archiac             -> archaic
archictect          -> architect
archimedian         -> archimedean
architecht          -> architect
architectual        -> architectural
archtype            -> archetype
aready              -> already
areodynamics        -> aerodynamics
argubly             -> arguably
arguement           -> argument
arised              -> arose
arival              -> arrival
armamant            -> armament
armistace           -> armistice
arogant             -> arrogant
arogent             -> arrogant
aroud               -> around
arrangment          -> arrangement
arrengement         -> arrangement
arround             -> around
artcile             -> article
artical             -> article
artice:             -> article
articel             -> article
artifical           -> artificial
artillary           -> artillery
arund               -> around
asetic              -> ascetic
asfar               -> as far
asociated           -> associated
asorbed             -> absorbed
asphyxation         -> asphyxiation
assasin             -> assassin
assassintation      -> assassination
assemple            -> assemble
assertation         -> assertion
asside              -> aside
assisnate           -> assassinate
assistence          -> assistance
assit:              -> assist
assitant            -> assistant
assocation          -> association
assoicate           -> associate
assosication        -> assassination
asssassans          -> assassins
assualt             -> assault
assymetric          -> asymmetric
asteriod            -> asteroid
asthetic            -> aesthetic
asume               -> assume
aswell              -> as well
atain               -> attain
atempting           -> attempting
atheistical         -> atheistic
athenean            -> athenian
athiesm             -> atheism
athiest             -> atheist
atorney             -> attorney
atribute            -> attribute
attemp:             -> attempt
attemt              -> attempt
attendence          -> attendance
attendent           -> attendant
attened             -> attended
attension           -> attention
attitide            -> attitude
attributred         -> attributed
attrocities         -> atrocities
audeince            -> audience
auromated           -> automated
auther              -> author
authobiographic     -> autobiographic
authobiography      -> autobiography
authorative         -> authoritative
authorites          -> authorities
authorithy          -> authority
authoritiers        -> authorities
authoritive         -> authoritative
autochtonous        -> autochthonous
autoctonous         -> autochthonous
automaticly         -> automatically
automibile          -> automobile
automonomous        -> autonomous
autor:              -> author
autority            -> authority
auxilary            -> auxiliary
auxillaries         -> auxiliaries
auxillary           -> auxiliary
auxilliaries        -> auxiliaries
auxilliary          -> auxiliary
availabe            -> available
availablity         -> availability
availaible          -> available
availalbe           -> available
availble            -> available
availiable          -> available
availible           -> available
avalable            -> available
avalance            -> avalanche
avaliable           -> available
avation             -> aviation
averageed           -> averaged
avilable            -> available
awared              -> awarded
aweful              -> awful
awya                -> away
bacame              -> became
baceause            -> because
backgorund          -> background
backrounds          -> backgrounds
bakc                -> back
banannas            -> bananas
bandwith            -> bandwidth
bankrupcy           -> bankruptcy
banruptcy           -> bankruptcy
baout               -> about
basicaly            -> basically
basicly             -> basically
bcak                -> back
beachead            -> beachhead
beacuse             -> because
beastiality         -> bestiality
beatiful            -> beautiful
beaurocracy         -> bureaucracy
beaurocratic        -> bureaucratic
beautyfull:         -> beautiful
becamae             -> became
beccause            -> because
becomeing           -> becoming
becomming           -> becoming
becouse             -> because
becuase             -> because
bedore              -> before
beeing              -> being
befoer              -> before
begginer            -> beginner
beggining           -> beginning
beggins             -> begins
begining            -> beginning
beginnig            -> beginning
beleagured          -> beleaguered
beleif              -> belief
beleive             -> believe
beleiving           -> believing
beligum             -> belgium
belive              -> believe
belligerant         -> belligerent
bellweather         -> bellwether
bemusemnt           -> bemusement
beneficary          -> beneficiary
beng:               -> being
benificial          -> beneficial
benifit             -> benefit
bergamont           -> bergamot
beteen              -> between
betwen              -> between
beween              -> between
bewteen             -> between
bigining            -> beginning
biginning           -> beginning
bilateraly          -> bilaterally
billingualism       -> bilingualism
binominal           -> binomial
bizzare             -> bizarre
blaim               -> blame
blessure            -> blessing
blitzkreig          -> Blitzkrieg
bodydbuilder        -> bodybuilder
bombardement        -> bombardment
bombarment          -> bombardment
bondary             -> boundary
boook               -> book
borke:              -> broke
boundry             -> boundary
bouyancy            -> buoyancy
bouyant             -> buoyant
:boyant             -> buoyant
bradcast            -> broadcast
breakthough         -> breakthrough
breakthroughts      -> breakthroughs
breif               -> brief
brethen             -> brethren
bretheren           -> brethren
briliant            -> brilliant
brillant            -> brilliant
brimestone          -> brimstone
broacasted          -> broadcast
broadacasting       -> broadcasting
broady              -> broadly
buisness            -> business
buoancy             -> buoyancy
burried             -> buried
busness             -> business
bussiness           -> business
cacheing            -> caching
caculater           -> calculator
cacuses             -> caucuses
cahracters          -> characters
calaber             -> caliber
calander            -> calendar
calculater          -> calculator
calculs             -> calculus
calender            -> calandar
caligraphy          -> calligraphy
caluclate           -> calculate
caluculate          -> calculate
calulate            -> calculate
camoflage           -> camouflage
campagin            -> campaign
campain             -> campaign
candadate           -> candidate
candiate            -> candidate
candidiate          -> candidate
cannister           -> canister
cannnot             -> cannot
cannonical          -> canonical
cannotation         -> connotation
caost               -> coast
caperbility         -> capability
capible             -> capable
captial             -> capital
captued             -> captured
capturd             -> captured
carachter           -> character
caracterized        -> characterized
carefull            -> careful
careing             -> caring
carismatic          -> charismatic
carreer             -> career
carrers             -> careers
carryng             -> carrying
cartdridge          -> cartridge
carthographer       -> cartographer
cartilege           -> cartilage
cartilidge          -> cartilage
cartrige            -> cartridge
casette             -> cassette
cassawory           -> cassowary
cassowarry          -> cassowary
casue               -> cause
casuing             -> causing
casulaties          -> casualties
casulaty            -> casualty
catagories          -> categories
catagorized         -> categorized
catagory            -> category
catapillar          -> caterpillar
catapiller          -> caterpillar
catepillar          -> caterpillar
catergorize         -> categorize
caterpilar          -> caterpillar
caterpiller         -> caterpillar
cathlic             -> catholic
catholocism         -> catholicism
catterpilar         -> caterpillar
catterpillar        -> caterpillar
cattleship          -> battleship
cauhgt              -> caught
causalities         -> casualties
cellpading          -> cellpadding
cementary           -> cemetery
cemetarey           -> cemetery
cemetaries          -> cemeteries
cemetary            -> cemetery
cencus              -> census
cententenial        -> centennial
centruies           -> centuries
centruy             -> century
centuties           -> centuries
centuty             -> century
ceratin             -> certain
cerimonial          -> ceremonial
cerimonies          -> ceremonies
cerimony            -> ceremony
ceromony            -> ceremony
certainity          -> certainty
certaintly          -> certainly
certian             -> certain
chalenging          -> challenging
challange           -> challenge
challege            -> challenge
changable           -> changeable
charachter          -> character
charactersistic     -> characteristic
charactor           -> character
charasmatic         -> charismatic
charaterized        -> characterized
chariman            -> chairman
charistics          -> characteristics
checkotu            -> checkout
cheif               -> chief
chekc               -> check
chemcial            -> chemical
chemestry           -> chemistry
chemicaly           -> chemically
childbird           -> childbirth
childen             -> children
chnage              -> change
choclate            -> chocolate
choosen             -> chosen
chracter            -> character
chuch               -> church
churchs             -> churches
cieling             -> ceiling
circulaton          -> circulation
circumsicion        -> circumcision
circut              -> circuit
ciricuit            -> circuit
ciriculum           -> curriculum
civillian           -> civilian
claer               -> clear
claimes             -> claims
clas:               -> class
clasic              -> classic
cleareance          -> clearance
clera               -> clear
clincial            -> clinical
clinicaly           -> clinically
cmo:                -> com
cmoputer            -> computer
coctail             -> cocktail
coform              -> conform
cognizent           -> cognizant
coincedentally      -> coincidentally
colaborations       -> collaborations
colateral           -> collateral
colelctive          -> collective
collaberative       -> collaborative
collecton           -> collection
collegue            -> colleague
collonade           -> colonnade
collonies           -> colonies
collony             -> colony
collosal            -> colossal
colonizators        -> colonizers
colum:              -> column
comander            -> commander
comando             -> commando
comany              -> company
comapany            -> company
comapny             -> company
comback             -> comeback
combanations        -> combinations
combinatins         -> combinations
combusion           -> combustion
comdemnation        -> condemnation
comemmorates        -> commemorates
comemoretion        -> commemoration
comision            -> commission
comission           -> commission
comited             -> committed
comiting            -> committing
comitted            -> committed
comittee            -> committee
comitting           -> committing
commandoes          -> commandos
commedic            -> comedic
commemerative       -> commemorative
commemmorate        -> commemorate
commemmorating      -> commemorating
commerical          -> commercial
commericial         -> commercial
commerorative       -> commemorative
comming:            -> coming
comminication       -> communication
commision           -> commission
commited            -> committed
commitee            -> committee
commiting           -> committing
committe:           -> committee
committment         -> commitment
commmemorated       -> commemorated
commongly           -> commonly
commonweath         -> commonwealth
commuications       -> communications
commuinications     -> communications
communciation       -> communication
communiation        -> communication
communites          -> communities
compability         -> compatibility
comparible          -> comparable
comparision         -> comparison
comparitive         -> comparative
compatabilities     -> compatibilities
compatability       -> compatibility
compatibitly        -> compatibility
compatable          -> compatible
compatablities      -> compatibilities
compatablity        -> compatibility
compatiable         -> compatible
compatiblities      -> compatibilities
compatiblity        -> compatibility
compeitions         -> competitions
compensantion       -> compensation
competance          -> competence
competant           -> competent
competative         -> competitive
competitiion        -> competition
competive           -> competitive
comphrehensive      -> comprehensive
compitent           -> competent
completedthe        -> completed the
completelyl         -> completely
completetion        -> completion
complier            -> compiler
compliation         -> compilation
componant           -> component
comprable           -> comparable
comprimise          -> compromise
compulsary          -> compulsory
compulsery          -> compulsory
computarized        -> computerized
concensus           -> consensus
concider            -> consider
concieted           -> conceited
concieved           -> conceived
concious            -> conscious
condamned           -> condemned
condemmed           -> condemned
condidtion          -> condition
conditionsof        -> conditions of
conected            -> connected
conection           -> connection
conesencus          -> consensus
confidental         -> confidential
confids             -> confides
configureable       -> configurable
confortable         -> comfortable
confuseion          -> confusion
congradulations     -> congratulations
congresional        -> congressional
conived             -> connived
conjecutre          -> conjecture
conjuction          -> conjunction
conotations         -> connotations
conquerd            -> conquered
conquerer           -> conqueror
conqured            -> conquered
conscent            -> consent
consciouness        -> consciousness
consdider           -> consider
consdiered          -> considered
consectutive        -> consethicutive
consenquently       -> consequently
consentrate         -> concentrate
consept             -> concept
consequentually     -> consequently
consequeseces       -> consequences
consern             -> concern
conservitive        -> conservative
consiciousness      -> consciousness
consicousness       -> consciousness
considerd           -> considered
consideres          -> considered
consious            -> conscious
consistant          -> consistent
consituencies       -> constituencies
consituency         -> constituency
consituted          -> constituted
consitution         -> constitution
consolodate         -> consolidate
consonent           -> consonant
consorcium          -> consortium
conspiracys         -> conspiracies
conspiriator        -> conspirator
constaints          -> constraints
constanly           -> constantly
constarnation       -> consternation
constatn            -> constant
constinually        -> continually
constituant         -> constituent
constituion         -> constitution
consttruction       -> construction
constuction         -> construction
consulant           -> consultant
consumate           -> consummate
contaiminate        -> contaminate
containes           -> contains
contamporaries      -> contemporaries
contamporary        -> contemporary
contempoary         -> contemporary
contemporaneus      -> contemporaneous
contempory          -> contemporary
contendor           -> contender
contian             -> contain
contibute           -> contribute
contigent           -> contingent
contined            -> continued
continential        -> continental
continous           -> continuous
continueing         -> continuing
contravercial       -> controversial
contraversy         -> controversy
contributer         -> contributor
contritutions       -> contributions
controled           -> controlled
controll:           -> control
controlls:          -> controls
controvercial       -> controversial
controvercy         -> controversy
controveries        -> controversies
controversal        -> controversial
controversey        -> controversy
controvertial       -> controversial
controvery          -> controversy
contruction         -> construction
contstruction       -> construction
conveinent          -> convenient
convenant           -> covenant
convential          -> conventional
convertables        -> convertibles
convertion          -> conversion
conviced            -> convinced
convienient         -> convenient
coordiantion        -> coordination
copmetitors         -> competitors
coputer             -> computer
copywrite:          -> copyright
coridal             -> cordial
cornmitted          -> committed
corosion            -> corrosion
corparate           -> corporate
corperations        -> corporations
correcters          -> correctors
correponding        -> corresponding
correposding        -> corresponding
correspondant       -> correspondent
corridoors          -> corridors
corrispond          -> correspond
cosnt               -> const
costitution         -> constitution
coucil              -> council
coudl               -> could
counries            -> countries
countain            -> contain
countires           -> countries
creaeted            -> created
creedence           -> credence
critereon           -> criterion
criterias           -> criteria
criticists          -> critics
critisising         -> criticising
critisism           -> criticism
critized            -> criticized
critizing           -> criticizing
crockodiles         -> crocodiles
crowm               -> crown
crtical             -> critical
crticised           -> criticised
crucifiction        -> crucifixion
crusies             -> cruises
crutial             -> crucial
crystalisation      -> crystallisation
culiminating        -> culminating
cumulatative        -> cumulative
curch               -> church
curcuit             -> circuit
currenly            -> currently
curriculem          -> curriculum
cxan                -> cyan
cyclinder           -> cylinder
daed:               -> dead
dalmation           -> dalmatian
damenor             -> demeanor
dammage             -> damage
daugher:            -> daughter
debateable          -> debatable
decendant           -> descendant
decendent           -> descendant
decideable          -> decidable
decidely            -> decidedly
decied              -> decide
decieve             -> deceive
decison             -> decision
decomposit:         -> decompose
decress             -> decrees
decribe             -> describe
decribing           -> describing
dectect             -> detect
defendent           -> defendant
deffensively        -> defensively
deffine             -> define
definance           -> defiance
definate            -> definite
definatly           -> definitely
definetly           -> definitely
definining          -> defining
definitly           -> definitely
definiton           -> definition
defintion           -> definition
degrate             -> degrade
delagates           -> delegates
delapidated         -> dilapidated
delerious           -> delirious
delevopment         -> development
deliberatly         -> deliberately
delusionally        -> delusively
demenor             -> demeanor
demographical       -> demographic
demolision          -> demolition
demorcracy          -> democracy
demostration        -> demonstration
denegrating         -> denigrating
densly              -> densely
deparment           -> department
dependance          -> dependence
dependancy          -> dependency
depricate           -> deprecate
depreciate          -> deprecate
deriviated          -> derived
derivitive          -> derivative
derogitory          -> derogatory
dervied             -> derived
descendands         -> descendants
descibed            -> described
descision           -> decision
descriiben          -> describe
descriibes          -> describes
descripter          -> descriptor
descripton          -> description
desctruction        -> destruction
descuss             -> discuss
desgin              -> design
desicion            -> decision
deside:             -> decide
desigining          -> designing
desinations         -> destinations
desintegrated       -> disintegrated
desintegration      -> disintegration
desireable          -> desirable
desitned            -> destined
desktiop            -> desktop
desorder            -> disorder
desoriented         -> disoriented
despict             -> depict
despiration         -> desperation
dessicated          -> desiccated
dessigned           -> designed
destablized         -> destabilized
destory             -> destroy
detial              -> detail
detailled           -> detailed
detatched           -> detached
deteoriated         -> deteriorated
deteriate           -> deteriorate
deterioriating      -> deteriorating
determinining       -> determining
detremental         -> detrimental
devasted            -> devastated
develope:           -> develop
developped          -> developed
develpment          -> development
devels              -> delves
devestated          -> devastated
devestating         -> devastating
devide              -> divide
devistating         -> devastating
devolopement        -> development
diablical           -> diabolical
diamons             -> diamonds
diaster             -> disaster
dichtomy            -> dichotomy
diconnect           -> disconnect
dicover             -> discover
dictionarys         -> dictionaries
dicussed            -> discussed
didnot              -> did not
dieties             -> deities
diety               -> deity
diferent            -> different
diferrent           -> different
differentiatiations -> differentiations
differetn           -> different
differnt            -> different
difficulity         -> difficulty
diffrent            -> different
dificult            -> difficult
dimenions           -> dimensions
dimention           -> dimension
diminuitive         -> diminutive
dimunitive          -> diminutive
diosese             -> diocese
diphtong            -> diphthong
diplomancy          -> diplomacy
dipthong            -> diphthong
directoty           -> directory
dirived             -> derived
disagreeed          -> disagreed
disapeared          -> disappeared
disapointing        -> disappointing
disappearred        -> disappeared
disasterous         -> disastrous
disatisfaction      -> dissatisfaction
disatisfied         -> dissatisfied
disatrous           -> disastrous
discontentment      -> discontent
discribe            -> describe
discribing          -> describing
disctinction        -> distinction
disctinctive        -> distinctive
disemination        -> dissemination
disenchanged        -> disenchanted
disiplined          -> disciplined
disolved            -> dissolved
disover             -> discover
dispair             -> despair
disparingly         -> disparagingly
dispence            -> dispense
dispencing          -> dispensing
dispicable          -> despicable
dispite             -> despite
disproportiate      -> disproportionate
disputandem         -> disputandum
disricts            -> districts
dissagreement       -> disagreement
dissapear           -> disappear
dissappear          -> disappear
dissarray           -> disarray
distiction          -> distinction
distingish          -> distinguish
distrubution        -> distribution
distruction         -> destruction
distructive         -> destructive
ditributed          -> distributed
divice              -> device
divinition          -> divination
divison             -> division
doccument           -> document
docrines            -> doctrines
doctines            -> doctrines
documenatry         -> documentary
doens               -> does
doign               -> doing
dominaton           -> domination
dominent            -> dominant
dominiant           -> dominant
donig               -> doing
dosen               -> doesn't
doulbe              -> double
dowload             -> download
dramtic             -> dramatic
dreasm              -> dreams
driectly            -> directly
drnik               -> drink
druming             -> drumming
drummless           -> drumless
:dum:               -> dumb
dupicate            -> duplicate
durig               -> during
durring             -> during
duting              -> during
dyanmic             -> dynamic
dyas                -> dryas
eahc                -> each
ealier              -> earlier
earnt               -> earned
ecclectic           -> eclectic
eceonomy            -> economy
ecidious            -> deciduous
eclispe             -> eclipse
ecomonic            -> economic
econoimic           -> economic
eearly              -> early
:efel:              -> evil
effeciency          -> efficiency
effecient           -> efficient
efficency           -> efficiency
efficent            -> efficient
effulence           -> effluence
:eiter              -> either
:eather             -> either
elasped             -> elapsed
elction             -> election
electrial           -> electrical
electricty          -> electricity
elementay           -> elementary
eleminating         -> eliminating
eletricity          -> electricity
elicided            -> elicited
eligable            -> eligible
elimentary          -> elementary
ellected            -> elected
elpased             -> elapsed
elphant             -> elephant
embarass            -> embarrass
embargos            -> embargoes
embeded             -> embedded
embezelled          -> embezzled
emblamatic          -> emblematic
emision             -> emission
emited              -> emitted
emiting             -> emitting
emmediately         -> immediately
emminently          -> eminently
emmisaries          -> emissaries
emmisarries         -> emissaries
emmisarry           -> emissary
emmisary            -> emissary
emmision            -> emission
emmited             -> emitted
emmiting            -> emitting
emmitted            -> emitted
emmitting           -> emitting
:emnity             -> enmity
emperical           -> empirical
emphaised           -> emphasised
emphsis             -> emphasis
emphysyma           -> emphysema
empirial            -> empirical
emporer             -> emperor
emprisoned          -> imprisoned
enameld             -> enameled
enchancement        -> enhancement
encouraing          -> encouraging
encryptiion         -> encryption
encylopedia         -> encyclopedia
encypt              -> encrypt
endevors            -> endeavors
endevour            -> endeavour
endig               -> ending
endolithes          -> endoliths
enduce              -> induce
enforceing          -> enforcing
engagment           -> engagement
engeneer            -> engineer
engieneer           -> engineer
enlargment          -> enlargement
enourmous           -> enormous
ensconsed           -> ensconced
entaglements        -> entanglements
enteratinment       -> entertainment
enthusiatic         -> enthusiastic
entitity            -> entity
entitlied           -> entitled
entrepeneur         -> entrepreneur
enviorment          -> environment
enviornment         -> environment
enviroment          -> environment
envolutionary       -> evolutionary
envrionments        -> environments
enxt:               -> next
epidsode            -> episode
epsiode             -> episode
equalibrium         -> equilibrium
equelibrium         -> equilibrium
equialent           -> equivalent
equilibium          -> equilibrium
equilibrum          -> equilibrium
equiped             -> equipped
equippment          -> equipment
equitorial          -> equatorial
equivelant          -> equivalent
equivelent          -> equivalent
equivilant          -> equivalent
equivilent          -> equivalent
equivlalent         -> equivalent
errupted            -> erupted
esential            -> essential
esitmated           -> estimated
especialy           -> especially
essencial           -> essential
essense             -> essence
essentail           -> essential
essentialy          -> essentially
essentual           -> essential
essesital           -> essential
estabishes          -> establishes
establising         -> establishing
ethnocentricm       -> ethnocentrism
evenhtually         -> eventually
eventally           -> eventually
eventhough          -> even though
eventially          -> eventually
eventualy           -> eventually
everthing           -> everything
everytime           -> every time
everyting           -> everything
eveyr               -> every
evidentally         -> evidently
exagerate           -> exaggerate
exagerating         -> exaggerating
exagerrate          -> exaggerate
exagerrating        -> exaggerating
examinated          -> examined
exampt              -> exempt
exapansion          -> expansion
excact              -> exact
excange             -> exchange
excecute            -> execute
excecuting          -> executing
excecution          -> execution
excedded            -> exceeded
excelent            -> excellent
excell:             -> excel
excellance          -> excellence
excellant           -> excellent
excells             -> excels
excercise           -> exercise
exchanching         -> exchanging
excisted            -> existed
exculsivly          -> exclusively
execising           -> exercising
exection            -> execution
exectued            -> executed
exeedingly          -> exceedingly
exelent             -> excellent
exellent            -> excellent
exemple             -> example
exept               -> except
exerbate            -> exacerbate
exerciese           -> exercises
exerpt              -> excerpt
exersize            -> exercise
exerternal          -> external
